Order_ID,Order_Date,Shipping_Date,Customer_Segment,Product_Category,Quantity,Sales_USD,Shipping_Cost_USD,Delivery_Time_Days,Estimated_Delivery_Days,Distance_KM,Warehouse_Code,Region,Shipping_Mode,Delivery_Status,Customer_Rating,Order_Processing_Days,Shipping_Delay_Days,Is_Delayed,Cost_Per_Unit,Cost_Per_KM,Speed_Index_KMPD,Enc_Shipping_Mode_Express Air,Enc_Shipping_Mode_Ground Freight,Enc_Shipping_Mode_Same-Day Courier,Enc_Shipping_Mode_Standard Delivery,Enc_Customer_Segment_Consumer,Enc_Customer_Segment_Corporate,Enc_Customer_Segment_Home Office,Enc_Customer_Segment_Small Business,Enc_Region_Central,Enc_Region_East,Enc_Region_North,Enc_Region_South,Enc_Region_West,Norm_Quantity,Norm_Sales_USD,Norm_Shipping_Cost_USD,Norm_Delivery_Time_Days,Norm_Distance_KM,Norm_Cost_Per_Unit,Norm_Cost_Per_KM
ORD-2024-1588,2024-05-19,2024-05-20,Consumer,Healthcare Supplies,2,206.91,155.16,1.6,1,641.1,WH-South,East,Same-Day Courier,Delivered,5.0,1,0.6,1,77.58,0.242,400.69,0,0,1,0,1,0,0,0,0,1,0,0,0,0.0127,0.0829,0.6538,0.0995,0.3066,0.3262,0.1102
ORD-2024-1063,2024-01-08,2024-01-12,Consumer,Apparel,1,60.35,28.49,4.8,5,274.7,WH-East,North,Standard Delivery,Delivered,5.0,4,-0.2,0,28.49,0.1037,57.23,0,0,0,1,1,0,0,0,0,0,1,0,0,0.0,0.0142,0.091,0.3891,0.1027,0.1135,0.0436
ORD-2024-2015,2024-02-02,2024-02-04,Small Business,Industrial Machinery,1,1259.91,79.4,7.4,7,915.3,WH-Central,Central,Ground Freight,Delivered,4.0,2,0.4,1,79.4,0.0867,123.69,0,1,0,0,0,0,0,1,1,0,0,0,0,0.0,0.5759,0.3172,0.6244,0.4592,0.3341,0.0354
ORD-2024-1270,2024-03-15,2024-03-17,Home Office,Electronics,4,996.02,67.53,6.7,5,1886.88,WH-South,North,Standard Delivery,Delayed,1.0,2,1.7,1,16.88,0.0358,281.62,0,0,0,1,0,0,1,0,0,0,1,0,0,0.038,0.4523,0.2645,0.5611,1.0,0.0631,0.0108
ORD-2024-2140,2024-04-08,2024-04-10,Home Office,Office Supplies,3,107.21,59.94,6.7,5,805.6,WH-South,North,Standard Delivery,Delivered,3.0,2,1.7,1,19.98,0.0744,120.24,0,0,0,1,0,0,1,0,0,0,1,0,0,0.0253,0.0362,0.2308,0.5611,0.3982,0.0766,0.0294
ORD-2024-1076,2024-03-19,2024-03-23,Home Office,Electronics,2,514.51,115.54,4.0,2,607.5,WH-East,Central,Express Air,Delayed,2.0,4,2.0,1,57.77,0.1902,151.88,1,0,0,0,0,0,1,0,1,0,0,0,0,0.0127,0.2269,0.4778,0.3167,0.2879,0.2403,0.0853
ORD-2024-1081,2024-04-19,2024-04-21,Corporate,Apparel,10,553.47,85.13,5.8,5,1188.5,WH-West,Central,Standard Delivery,Delayed,3.0,2,0.8,1,8.51,0.0716,204.91,0,0,0,1,0,1,0,0,1,0,0,0,0,0.1139,0.2451,0.3427,0.4796,0.6113,0.0269,0.0281
ORD-2024-1643,2024-05-16,2024-05-17,Consumer,Electronics,3,702.82,71.12,7.0,5,1225.9,WH-North,East,Standard Delivery,Delayed,2.0,1,2.0,1,23.71,0.058,175.13,0,0,0,1,1,0,0,0,0,1,0,0,0,0.0253,0.3151,0.2804,0.5882,0.6321,0.0927,0.0215
ORD-2024-1670,2024-02-06,2024-02-09,Consumer,Industrial Machinery,1,1484.31,60.07,7.0,7,694.4,WH-North,West,Ground Freight,Delivered,5.0,3,0.0,0,60.07,0.0865,99.2,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,0.681,0.2314,0.5882,0.3363,0.2503,0.0353
ORD-2024-1486,2024-06-20,2024-06-21,Consumer,Office Supplies,2,80.66,38.51,5.0,5,468.5,WH-North,North,Standard Delivery,Delivered,4.0,1,0.0,0,19.26,0.0822,93.7,0,0,0,1,1,0,0,0,0,0,1,0,0,0.0127,0.0237,0.1356,0.4072,0.2106,0.0735,0.0332
ORD-2024-1155,2024-06-03,2024-06-06,Consumer,Office Supplies,3,110.66,53.41,5.7,5,1123.0,WH-East,South,Standard Delivery,Delivered,4.0,3,0.7,1,17.8,0.0476,197.02,0,0,0,1,1,0,0,0,0,0,0,1,0,0.0253,0.0378,0.2018,0.4706,0.5748,0.0671,0.0165
ORD-2024-1718,2024-02-29,2024-03-03,Consumer,Office Supplies,5,159.65,71.04,7.2,5,1293.7,WH-Central,West,Standard Delivery,Delivered,3.0,3,2.2,1,14.21,0.0549,179.68,0,0,0,1,1,0,0,0,0,0,0,0,1,0.0506,0.0607,0.2801,0.6063,0.6698,0.0516,0.0201
ORD-2024-1867,2024-03-15,2024-03-16,Consumer,Industrial Machinery,50,2165.61,142.31,6.9,5,401.7,WH-Central,South,Standard Delivery,Delivered,4.0,1,1.9,1,2.85,0.3543,58.22,0,0,0,1,1,0,0,0,0,0,0,1,0,0.6203,1.0,0.5967,0.5792,0.1734,0.0023,0.1644
ORD-2024-1771,2024-05-12,2024-05-13,Home Office,Industrial Machinery,10,2165.61,161.75,1.0,2,529.6,WH-East,North,Express Air,Delivered,3.0,1,-1.0,0,16.18,0.3054,529.6,1,0,0,0,0,0,1,0,0,0,1,0,0,0.1139,1.0,0.6831,0.0452,0.2446,0.0601,0.1408
ORD-2024-2181,2024-03-08,2024-03-09,Consumer,Apparel,3,178.98,8.0,5.7,5,600.6,WH-South,North,Standard Delivery,Delivered,5.0,1,0.7,1,2.67,0.0133,105.37,0,0,0,1,1,0,0,0,0,0,1,0,0,0.0253,0.0698,0.0,0.4706,0.2841,0.0016,0.0
ORD-2024-1781,2024-05-20,2024-05-24,Corporate,Industrial Machinery,2,2165.61,67.18,7.3,5,1334.0,WH-North,North,Standard Delivery,Delivered,3.0,4,2.3,1,33.59,0.0504,182.74,0,0,0,1,0,1,0,0,0,0,1,0,0,0.0127,1.0,0.2629,0.6154,0.6923,0.1356,0.0179
ORD-2024-2030,2024-03-15,2024-03-18,Consumer,Electronics,1,257.71,107.6,4.5,2,687.1,WH-North,South,Express Air,Delivered,3.0,3,2.5,1,107.6,0.1566,152.69,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.1066,0.4425,0.362,0.3322,0.4563,0.0691
ORD-2024-1858,2024-03-30,2024-04-02,Corporate,Electronics,1,233.83,67.43,6.5,5,1189.5,WH-Central,West,Standard Delivery,Delivered,4.0,3,1.5,1,67.43,0.0567,183.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0.0,0.0955,0.2641,0.543,0.6119,0.2822,0.0209
ORD-2024-1732,2024-01-08,2024-01-09,Corporate,Office Supplies,3,91.95,232.31,2.2,2,1609.9,WH-East,North,Express Air,Delivered,5.0,1,0.2,1,77.44,0.1443,731.77,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0253,0.029,0.9966,0.1538,0.8458,0.3256,0.0631
ORD-2024-1294,2024-06-06,2024-06-08,Consumer,Healthcare Supplies,15,1607.89,86.14,7.3,7,443.7,WH-South,South,Ground Freight,Delivered,5.0,2,0.3,1,5.74,0.1941,60.78,0,1,0,0,1,0,0,0,0,0,0,1,0,0.1772,0.7389,0.3472,0.6154,0.1968,0.0149,0.0871
ORD-2024-1221,2024-06-07,2024-06-08,Corporate,Apparel,1,67.05,33.05,5.7,5,448.4,WH-East,West,Standard Delivery,Delivered,4.0,1,0.7,1,33.05,0.0737,78.67,0,0,0,1,0,1,0,0,0,0,0,0,1,0.0,0.0174,0.1113,0.4706,0.1994,0.1332,0.0291
ORD-2024-2192,2024-03-21,2024-03-24,Consumer,Apparel,8,477.33,62.01,6.4,7,332.7,WH-West,West,Ground Freight,Delivered,5.0,3,-0.6,0,7.75,0.1864,51.98,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0886,0.2095,0.24,0.5339,0.135,0.0236,0.0834
ORD-2024-1184,2024-03-07,2024-03-11,Consumer,Electronics,1,219.93,149.29,10.0,7,1886.88,WH-South,South,Ground Freight,Delivered,4.0,4,3.0,1,149.29,0.0791,188.69,0,1,0,0,1,0,0,0,0,0,0,1,0,0.0,0.089,0.6278,0.8597,1.0,0.6369,0.0317
ORD-2024-1101,2024-05-18,2024-05-21,Corporate,Industrial Machinery,5,2165.61,216.14,6.1,2,1627.5,WH-North,North,Express Air,Delayed,1.0,3,4.1,1,43.23,0.1328,266.8,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0506,1.0,0.9248,0.5068,0.8556,0.1773,0.0576
ORD-2024-1275,2024-05-02,2024-05-04,Corporate,Electronics,2,561.23,42.11,5.0,5,504.7,WH-West,South,Standard Delivery,Delivered,5.0,2,0.0,0,21.06,0.0834,100.94,0,0,0,1,0,1,0,0,0,0,0,1,0,0.0127,0.2488,0.1516,0.4072,0.2307,0.0813,0.0338
ORD-2024-1023,2024-01-06,2024-01-10,Consumer,Electronics,1,310.44,132.29,2.7,2,759.5,WH-West,South,Express Air,Delivered,4.0,4,0.7,1,132.29,0.1742,281.3,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.1313,0.5522,0.1991,0.3725,0.5633,0.0775
ORD-2024-1485,2024-06-04,2024-06-07,Small Business,Apparel,1,60.6,155.03,1.9,1,729.7,WH-South,Central,Same-Day Courier,Delivered,4.0,3,0.9,1,155.03,0.2125,384.05,0,0,1,0,0,0,0,1,1,0,0,0,0,0.0,0.0143,0.6533,0.1267,0.3559,0.6618,0.096
ORD-2024-1078,2024-01-17,2024-01-18,Consumer,Industrial Machinery,4,2165.61,81.94,6.0,5,1427.1,WH-West,South,Standard Delivery,Delivered,5.0,1,1.0,1,20.48,0.0574,237.85,0,0,0,1,1,0,0,0,0,0,0,1,0,0.038,1.0,0.3285,0.4977,0.7441,0.0787,0.0213
ORD-2024-2043,2024-03-13,2024-03-14,Corporate,Office Supplies,1,40.33,33.45,5.6,5,447.9,WH-South,South,Standard Delivery,Delivered,4.0,1,0.6,1,33.45,0.0747,79.98,0,0,0,1,0,1,0,0,0,0,0,1,0,0.0,0.0049,0.1131,0.4615,0.1991,0.1349,0.0296
ORD-2024-2213,2024-06-20,2024-06-23,Home Office,Industrial Machinery,3,2165.61,43.71,6.2,5,563.3,WH-West,East,Standard Delivery,Delivered,5.0,3,1.2,1,14.57,0.0776,90.85,0,0,0,1,0,0,1,0,0,1,0,0,0,0.0253,1.0,0.1587,0.5158,0.2633,0.0531,0.031
ORD-2024-1128,2024-05-14,2024-05-16,Consumer,Office Supplies,8,288.16,101.65,7.6,5,1485.4,WH-East,East,Standard Delivery,Delayed,2.0,2,2.6,1,12.71,0.0684,195.45,0,0,0,1,1,0,0,0,0,1,0,0,0,0.0886,0.1209,0.4161,0.6425,0.7765,0.0451,0.0266
ORD-2024-1997,2024-06-06,2024-06-09,Consumer,Apparel,2,155.95,71.67,6.6,7,922.3,WH-North,Central,Ground Freight,Delivered,4.0,3,-0.4,0,35.84,0.0777,139.74,0,1,0,0,1,0,0,0,1,0,0,0,0,0.0127,0.059,0.2829,0.552,0.4631,0.1453,0.031
ORD-2024-1621,2024-05-10,2024-05-11,Consumer,Electronics,2,593.44,215.13,3.4,1,1159.7,WH-South,North,Same-Day Courier,Delayed,1.0,1,2.4,1,107.56,0.1855,341.09,0,0,1,0,1,0,0,0,0,0,1,0,0,0.0127,0.2638,0.9203,0.2624,0.5953,0.4561,0.083
ORD-2024-1668,2024-05-08,2024-05-09,Consumer,Office Supplies,2,75.78,59.84,7.1,5,1040.6,WH-South,West,Standard Delivery,Delivered,3.0,1,2.1,1,29.92,0.0575,146.56,0,0,0,1,1,0,0,0,0,0,0,0,1,0.0127,0.0215,0.2303,0.5973,0.529,0.1196,0.0213
ORD-2024-1051,2024-03-27,2024-03-30,Home Office,Healthcare Supplies,10,992.89,148.74,10.5,7,1886.88,WH-Central,North,Ground Freight,Returned,1.0,3,3.5,1,14.87,0.0788,179.7,0,1,0,0,0,0,1,0,0,0,1,0,0,0.1139,0.4509,0.6253,0.905,1.0,0.0544,0.0316
ORD-2024-1479,2024-04-24,2024-04-27,Corporate,Industrial Machinery,1,1452.42,49.98,6.1,5,754.4,WH-North,Central,Standard Delivery,Delayed,2.0,3,1.1,1,49.98,0.0663,123.67,0,0,0,1,0,1,0,0,1,0,0,0,0,0.0,0.6661,0.1865,0.5068,0.3697,0.2066,0.0255
ORD-2024-1963,2024-03-08,2024-03-10,Consumer,Healthcare Supplies,1,111.13,117.1,8.5,7,1436.1,WH-West,East,Ground Freight,Delivered,4.0,2,1.5,1,117.1,0.0815,168.95,0,1,0,0,1,0,0,0,0,1,0,0,0,0.0,0.038,0.4847,0.724,0.7491,0.4974,0.0329
ORD-2024-1582,2024-05-27,2024-05-30,Corporate,Industrial Machinery,8,2165.61,69.39,7.4,7,386.5,WH-South,North,Ground Freight,Delivered,4.0,3,0.4,1,8.67,0.1795,52.23,0,1,0,0,0,1,0,0,0,0,1,0,0,0.0886,1.0,0.2728,0.6244,0.1649,0.0276,0.0801
ORD-2024-1730,2024-06-12,2024-06-13,Consumer,Electronics,4,1046.05,49.23,6.4,7,239.4,WH-North,East,Ground Freight,Delivered,5.0,1,-0.6,0,12.31,0.2056,37.41,0,1,0,0,1,0,0,0,0,1,0,0,0,0.038,0.4758,0.1832,0.5339,0.083,0.0433,0.0927
ORD-2024-1265,2024-03-18,2024-03-20,Corporate,Electronics,5,1369.52,126.38,3.7,2,523.8,WH-South,Central,Express Air,Delivered,4.0,2,1.7,1,25.28,0.2413,141.57,1,0,0,0,0,1,0,0,1,0,0,0,0,0.0506,0.6272,0.526,0.2896,0.2413,0.0995,0.1099
ORD-2024-1239,2024-06-11,2024-06-13,Consumer,Office Supplies,2,83.36,28.76,5.5,5,203.0,WH-Central,North,Standard Delivery,Delivered,3.0,2,0.5,1,14.38,0.1417,36.91,0,0,0,1,1,0,0,0,0,0,1,0,0,0.0127,0.025,0.0922,0.4525,0.0628,0.0523,0.0619
ORD-2024-1346,2024-01-25,2024-01-26,Corporate,Electronics,2,431.63,80.24,6.6,5,1394.3,WH-North,West,Standard Delivery,Delivered,4.0,1,1.6,1,40.12,0.0575,211.26,0,0,0,1,0,1,0,0,0,0,0,0,1,0.0127,0.1881,0.321,0.552,0.7258,0.1638,0.0213
ORD-2024-1306,2024-06-08,2024-06-11,Corporate,Industrial Machinery,1,1451.15,27.88,6.1,5,738.0,WH-West,West,Standard Delivery,Delivered,4.0,3,1.1,1,27.88,0.0378,120.98,0,0,0,1,0,1,0,0,0,0,0,0,1,0.0,0.6655,0.0883,0.5068,0.3606,0.1108,0.0118
ORD-2024-1363,2024-03-20,2024-03-22,Corporate,Office Supplies,4,124.59,218.57,4.7,2,1379.8,WH-North,East,Express Air,Delivered,4.0,2,2.7,1,54.64,0.1584,293.57,1,0,0,0,0,1,0,0,0,1,0,0,0,0.038,0.0443,0.9356,0.3801,0.7178,0.2268,0.0699
ORD-2024-2072,2024-04-22,2024-04-26,Consumer,Industrial Machinery,2,2165.61,53.41,3.0,5,197.0,WH-South,West,Standard Delivery,Delivered,4.0,4,-2.0,0,26.7,0.2711,65.67,0,0,0,1,1,0,0,0,0,0,0,0,1,0.0127,1.0,0.2018,0.2262,0.0594,0.1057,0.1243
ORD-2024-2006,2024-01-12,2024-01-15,Corporate,Office Supplies,1,37.79,84.77,1.0,2,482.2,WH-North,Central,Express Air,Delivered,5.0,3,-1.0,0,84.77,0.1758,482.2,1,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0037,0.3411,0.0452,0.2182,0.3573,0.0783
ORD-2024-1208,2024-04-23,2024-04-25,Consumer,Electronics,1,255.16,75.38,6.4,7,882.2,WH-North,North,Ground Freight,Delivered,4.0,2,-0.6,0,75.38,0.0854,137.84,0,1,0,0,1,0,0,0,0,0,1,0,0,0.0,0.1054,0.2994,0.5339,0.4408,0.3166,0.0348
ORD-2024-1425,2024-05-24,2024-05-27,Corporate,Office Supplies,5,204.06,131.51,3.0,2,702.4,WH-Central,Central,Express Air,Delivered,3.0,3,1.0,1,26.3,0.1872,234.13,1,0,0,0,0,1,0,0,1,0,0,0,0,0.0506,0.0815,0.5488,0.2262,0.3407,0.104,0.0838
ORD-2024-1843,2024-01-21,2024-01-24,Small Business,Office Supplies,2,64.72,32.39,4.1,5,347.3,WH-South,North,Standard Delivery,Delivered,4.0,3,-0.9,0,16.2,0.0933,84.71,0,0,0,1,0,0,0,1,0,0,1,0,0,0.0127,0.0163,0.1084,0.3258,0.1431,0.0602,0.0386
ORD-2024-1976,2024-02-08,2024-02-10,Corporate,Office Supplies,4,153.9,65.14,7.7,5,1036.3,WH-Central,Central,Standard Delivery,Delivered,5.0,2,2.7,1,16.28,0.0629,134.58,0,0,0,1,0,1,0,0,1,0,0,0,0,0.038,0.058,0.2539,0.6516,0.5266,0.0605,0.0239
ORD-2024-1220,2024-03-30,2024-04-03,Corporate,Industrial Machinery,1,1187.52,77.49,7.9,5,1604.7,WH-Central,Central,Standard Delivery,Delivered,4.0,4,2.9,1,77.49,0.0483,203.13,0,0,0,1,0,1,0,0,1,0,0,0,0,0.0,0.542,0.3087,0.6697,0.8429,0.3258,0.0169
ORD-2024-1905,2024-05-11,2024-05-12,Home Office,Electronics,1,294.99,118.62,2.2,2,605.3,WH-North,West,Express Air,Delivered,3.0,1,0.2,1,118.62,0.196,275.14,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.1241,0.4915,0.1538,0.2867,0.504,0.0881
ORD-2024-2235,2024-06-06,2024-06-09,Consumer,Healthcare Supplies,4,549.13,74.07,8.3,7,691.5,WH-North,East,Ground Freight,Delivered,4.0,3,1.3,1,18.52,0.1071,83.31,0,1,0,0,1,0,0,0,0,1,0,0,0,0.038,0.2431,0.2936,0.7059,0.3347,0.0702,0.0452
ORD-2024-1839,2024-04-26,2024-04-27,Corporate,Office Supplies,2,80.45,108.41,3.8,2,545.0,WH-West,West,Express Air,Delayed,2.0,1,1.8,1,54.2,0.1989,143.42,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0127,0.0236,0.4461,0.2986,0.2531,0.2249,0.0895
ORD-2024-1032,2024-04-06,2024-04-07,Consumer,Industrial Machinery,5,2165.61,178.34,3.4,2,1113.7,WH-North,South,Express Air,Delayed,1.0,1,1.4,1,35.67,0.1601,327.56,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0506,1.0,0.7568,0.2624,0.5697,0.1446,0.0708
ORD-2024-1240,2024-03-02,2024-03-06,Small Business,Electronics,4,1090.55,146.44,1.4,1,597.5,WH-North,South,Same-Day Courier,Delivered,5.0,4,0.4,1,36.61,0.2451,426.79,0,0,1,0,0,0,0,1,0,0,0,1,0,0.038,0.4966,0.6151,0.0814,0.2824,0.1486,0.1117
ORD-2024-1243,2024-03-29,2024-04-02,Consumer,Electronics,4,920.07,233.07,2.3,1,1435.0,WH-North,North,Same-Day Courier,Delivered,4.0,4,1.3,1,58.27,0.1624,623.91,0,0,1,0,1,0,0,0,0,0,1,0,0,0.038,0.4168,1.0,0.1629,0.7485,0.2425,0.0719
ORD-2024-2041,2024-01-25,2024-01-26,Home Office,Electronics,2,559.68,49.74,5.2,5,642.6,WH-Central,West,Standard Delivery,Delivered,4.0,1,0.2,1,24.87,0.0774,123.58,0,0,0,1,0,0,1,0,0,0,0,0,1,0.0127,0.248,0.1855,0.4253,0.3075,0.0978,0.0309
ORD-2024-1759,2024-02-03,2024-02-06,Home Office,Office Supplies,1,40.86,48.68,4.5,5,681.8,WH-Central,Central,Standard Delivery,Delivered,3.0,3,-0.5,0,48.68,0.0714,151.51,0,0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0051,0.1807,0.362,0.3293,0.2009,0.028
ORD-2024-1940,2024-04-03,2024-04-05,Consumer,Electronics,3,893.7,34.93,5.7,5,305.7,WH-South,South,Standard Delivery,Delivered,3.0,2,0.7,1,11.64,0.1143,53.63,0,0,0,1,1,0,0,0,0,0,0,1,0,0.0253,0.4044,0.1197,0.4706,0.1199,0.0404,0.0487
ORD-2024-1168,2024-03-25,2024-03-26,Consumer,Office Supplies,1,41.84,29.84,5.7,5,257.8,WH-West,West,Standard Delivery,Delivered,5.0,1,0.7,1,29.84,0.1157,45.23,0,0,0,1,1,0,0,0,0,0,0,0,1,0.0,0.0056,0.097,0.4706,0.0933,0.1193,0.0494
ORD-2024-1834,2024-04-23,2024-04-27,Corporate,Office Supplies,1,33.37,36.94,7.0,7,263.0,WH-West,Central,Ground Freight,Delivered,4.0,4,0.0,0,36.94,0.1405,37.57,0,1,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0016,0.1286,0.5882,0.0962,0.1501,0.0613
ORD-2024-1198,2024-04-21,2024-04-24,Home Office,Healthcare Supplies,1,126.18,54.95,6.4,5,887.3,WH-North,West,Standard Delivery,Delayed,3.0,3,1.4,1,54.95,0.0619,138.64,0,0,0,1,0,0,1,0,0,0,0,0,1,0.0,0.0451,0.2086,0.5339,0.4437,0.2281,0.0234
ORD-2024-1367,2024-03-15,2024-03-16,Small Business,Industrial Machinery,15,2165.61,114.56,8.7,5,738.0,WH-South,West,Standard Delivery,Delayed,1.0,1,3.7,1,7.64,0.1552,84.83,0,0,0,1,0,0,0,1,0,0,0,0,1,0.1772,1.0,0.4735,0.7421,0.3606,0.0231,0.0684
ORD-2024-2002,2024-02-12,2024-02-13,Home Office,Industrial Machinery,1,1038.71,76.99,7.9,7,789.5,WH-West,Central,Ground Freight,Delayed,2.0,1,0.9,1,76.99,0.0975,99.94,0,1,0,0,0,0,1,0,1,0,0,0,0,0.0,0.4723,0.3065,0.6697,0.3892,0.3236,0.0406
ORD-2024-2047,2024-05-12,2024-05-13,Consumer,Electronics,1,234.09,112.87,1.4,2,782.9,WH-West,East,Express Air,Delivered,5.0,1,-0.6,0,112.87,0.1442,559.21,1,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0956,0.4659,0.0814,0.3855,0.4791,0.0631
ORD-2024-1706,2024-05-29,2024-05-30,Consumer,Industrial Machinery,1,1309.75,53.41,7.4,7,928.6,WH-West,Central,Standard Delivery,Delivered,3.0,1,0.4,1,53.41,0.0575,125.49,0,0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.5993,0.2018,0.6244,0.4666,0.2214,0.0213
ORD-2024-2210,2024-03-05,2024-03-09,Consumer,Healthcare Supplies,1,103.31,47.57,4.6,5,709.7,WH-East,North,Standard Delivery,Delivered,5.0,4,-0.4,0,47.57,0.067,154.28,0,0,0,1,1,0,0,0,0,0,1,0,0,0.0,0.0343,0.1758,0.371,0.3448,0.1961,0.0259
ORD-2024-1859,2024-04-20,2024-04-23,Consumer,Healthcare Supplies,2,215.63,142.88,1.3,2,833.2,WH-South,West,Express Air,Delivered,4.0,3,-0.7,0,71.44,0.1715,640.92,1,0,0,0,1,0,0,0,0,0,0,0,1,0.0127,0.0869,0.5993,0.0724,0.4135,0.2996,0.0762
ORD-2024-1707,2024-03-04,2024-03-08,Home Office,Office Supplies,3,126.86,121.02,9.4,5,1886.88,WH-North,West,Standard Delivery,Delayed,3.0,4,4.4,1,40.34,0.0641,200.73,0,0,0,1,0,0,1,0,0,0,0,0,1,0.0253,0.0454,0.5022,0.8054,1.0,0.1648,0.0245
